TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Eng-I: Value Education,,,,,,2023-09-07,,
task,OOP-I: Principles of OOP: Classes,,,,,,2023-09-07,,
task,DD-I: Number Systems,,,,,,2023-09-07,,
task,Eng-I: Need,,,,,,2023-09-08,,
task,DSA-I: Algorithm Analysis: Running time calculations,,,,,,2023-09-08,,
task,Math-I: Propositional Logic,,,,,,2023-09-09,,
task,OOP-I: Objects,,,,,,2023-09-09,,
task,Math-I: Propositional equivalences,,,,,,2023-09-10,,
task,Eng-I: Basic Guidelines,,,,,,2023-09-10,,
task,DD-I: Arithmetic Operations,,,,,,2023-09-10,,
task,OOP-I: Data hiding,,,,,,2023-09-11,,
task,DSA-I: Abstract Data Types (ADTs),,,,,,2023-09-11,,
task,Eng-I: Content and Process,,,,,,2023-09-12,,
task,OOP-I: Data encapsulation,,,,,,2023-09-12,,
task,DD-I: Binary Codes,,,,,,2023-09-13,,
task,Eng-I: Self-Exploration,,,,,,2023-09-13,,
task,DSA-I: List ADT: Array implementation of lists,,,,,,2023-09-14,,
task,Math-I: Predicates and quantifiers,,,,,,2023-09-14,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation,,,,,,2023-09-14,,
task,OOP-I: Inheritance,,,,,,2023-09-15,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates.,,,,,,2023-09-15,,
task,Eng-I: meaning,,,,,,2023-09-16,,
task,DD-I: Boolean Algebra and Logic Gates,,,,,,2023-09-16,,
task,Math-I: Nested quantifiers,,,,,,2023-09-17,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation),,,,,,2023-09-17,,
task,DSA-I: Linked lists,,,,,,2023-09-17,,
task,OOP-I: Poly- morphism,,,,,,2023-09-18,,
task,Eng-I: importance and process,,,,,,2023-09-18,,
task,DD-I: Theorems and Properties of Boolean Algebra,,,,,,2023-09-19,,
task,Eng-I: Continuous Happiness and Prosperity,,,,,,2023-09-19,,
task,DSA-I: Circular linked lists,,,,,,2023-09-20,,
task,Math-I: Rules of inference,,,,,,2023-09-20,,
task,DD-I: Boolean Functions,,,,,,2023-09-21,,
task,OOP-I: Definition of Classes: Objects,,,,,,2023-09-21,,
task,Eng-I: A look at basic Human Aspirations,,,,,,2023-09-21,,
task,OOP-I: Methods,,,,,,2023-09-22,,
task,Math-I: Introduction to proofs,,,,,,2023-09-22,,
task,Eng-I: Right understanding,,,,,,2023-09-23,,
task,DSA-I: Doubly linked lists,,,,,,2023-09-23,,
task,DD-I: Canonical and Standard Forms,,,,,,2023-09-24,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations)",,,,,,2023-09-24,,
task,OOP-I: Access specifiers,,,,,,2023-09-24,,
task,Eng-I: Relationship and Physical Facilities,,,,,,2023-09-25,,
task,OOP-I: Static and final classes and members,,,,,,2023-09-25,,
