TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,DD-III: Sequential Circuits (1/1),,2,,,,2024-02-01,en,
task,DD-III: Storage Elements: Latches (1/1),,2,,,,2024-02-01,en,
task,DD-III: Flip-Flops (1/1),,2,,,,2024-02-01,en,
task,DD-III:  Analysis of Clocked Sequential Circuits (1/1),,2,,,,2024-02-01,en,
task,DD-III: State Reduction and Assignment (1/1),,2,,,,2024-02-01,en,
task,DSA-IV: Graph Algorithms: Definitions (1/1),,2,,,,2024-02-01,en,
task,DSA-IV: Representation of graphs (1/1),,2,,,,2024-02-01,en,
task,DSA-IV:  Graph Traversals: Breadth-first traversal (1/1),,2,,,,2024-02-01,en,
task,DSA-IV: Depth-first traversal (1/1),,2,,,,2024-02-01,en,
task,DSA-IV:  Topological sort (1/1),,2,,,,2024-02-01,en,
task,DSA-IV: Shortest-Path Algorithms: Dijkstra’s algorithm (1/1),,2,,,,2024-02-01,en,
task,DD-III: Design Procedure (1/1),,2,,,,2024-02-02,en,
task,DD-III: Registers and Counters (1/1),,2,,,,2024-02-02,en,
task,DD-III: HDL Models of Sequential Circuits.  (1/1),,2,,,,2024-02-02,en,
task,DD-IV: Analysis and Design of Asynchronous Sequential Circuits (1/1),,2,,,,2024-02-02,en,
task,DD-IV: Reduction of State and Flow Tables (1/1),,2,,,,2024-02-02,en,
task,DSA-IV: All-pairs shortest path.  (1/1),,2,,,,2024-02-02,en,
task,DSA-V: Sorting: Insertion sort (1/1),,2,,,,2024-02-02,en,
task,DSA-V: Shell sort (1/1),,2,,,,2024-02-02,en,
task,DSA-V: Radix Exchange sort (1/1),,2,,,,2024-02-02,en,
task,DSA-V:  Hashing: Hash function (1/1),,2,,,,2024-02-02,en,
task,DD-IV: Race-free State Assignment (1/1),,2,,,,2024-02-03,en,
task,DD-IV: Hazards.  (1/1),,2,,,,2024-02-03,en,
task,DD-V: RAM (1/1),,2,,,,2024-02-03,en,
task,DD-V: Memory Decoding (1/1),,2,,,,2024-02-03,en,
task,DD-V: Error Detection and Correction (1/1),,2,,,,2024-02-03,en,
task,DSA-V: Separate chaining (1/1),,2,,,,2024-02-03,en,
task,DSA-V: Open addressing (1/1),,2,,,,2024-02-03,en,
task,DSA-V: Rehashing (1/1),,2,,,,2024-02-03,en,
task,DSA-V: Extendible hashing.  (1/1),,2,,,,2024-02-03,en,
task,DSA-III: Preliminaries (1/1),,2,,,,2024-02-03,en,
task,DSA-III:  Binary trees: Expression trees (1/1),,2,,,,2024-02-03,en,
task,DD-V: ROM (1/1),,2,,,,2024-02-04,en,
task,DD-V: Programmable Logic Array (1/1),,2,,,,2024-02-04,en,
task,DD-V: Programmable Array Logic (1/1),,2,,,,2024-02-04,en,
task,DD-V: Sequential Programmable Devices.  (1/1),,2,,,,2024-02-04,en,
task,DSA-III:  Binary search tree ADT (1/1),,2,,,,2024-02-04,en,
task,DSA-III:  AVL trees (1/1),,2,,,,2024-02-04,en,
task,DSA-III:  Tree traversals (1/1),,2,,,,2024-02-04,en,
task,DSA-III:  B- Trees (1/1),,2,,,,2024-02-04,en,
task,DSA-III:  Priority Queues: Binary heap. (1/1),,2,,,,2024-02-04,en,
